source;target
what is the phone number for your store;Business_Information-Phone_Number
how can i call your new york store;Business_Information-Phone_Number
what is your customer support line;Business_Information-Phone_Number
what is your support phone number;Business_Information-Phone_Number
do you have a 1-888 number;Business_Information-Phone_Number
what is the number for your new york location;Business_Information-Phone_Number
What is the phone number for customer service?;Business_Information-Phone_Number
I would like to chat to a human please.;Help-Connect_to_Agent
May I speak with somebody?;Help-Connect_to_Agent
Where are the actual people?;Help-Connect_to_Agent
I want to talk to a customer service representative please.;Help-Connect_to_Agent
transfer me to someone real;Help-Connect_to_Agent
talk to a human;Help-Connect_to_Agent
need help from a real person;Help-Connect_to_Agent
give me a person;Help-Connect_to_Agent
can I be connected to a real person;Help-Connect_to_Agent
can i talk to someone who is real;Help-Connect_to_Agent
i want a human to help;Help-Connect_to_Agent
need someone real;Help-Connect_to_Agent
talk to an actual person;Help-Connect_to_Agent
i want a live agent;Help-Connect_to_Agent
transfer me to a person;Help-Connect_to_Agent
give me a human agent;Help-Connect_to_Agent
transfer me to a live agent;Help-Connect_to_Agent
I would like to talk to a manager;Help-Connect_to_Agent
i want to talk to someone real;Help-Connect_to_Agent
connect me with a real person;Help-Connect_to_Agent
I want to talk to a live person;Help-Connect_to_Agent
real person;Help-Connect_to_Agent
can you connect me to a person;Help-Connect_to_Agent
Can you connect me with an humant agent?;Help-Connect_to_Agent
What do I get with the loyalty program?;Loyalty_Program-Program_Enquiry
Loyalty program eligibility;Loyalty_Program-Program_Enquiry
loyalty program what can you tell me about it;Loyalty_Program-Program_Enquiry
explain your loyalty program;Loyalty_Program-Program_Enquiry
How can I join the loyalty program?;Loyalty_Program-Program_Enquiry
What can I get for my rewards points?;Loyalty_Program-Program_Enquiry
Do you give rewards points?;Loyalty_Program-Program_Enquiry
What about your loyalty program;Loyalty_Program-Program_Enquiry
Do I need to buy something each month for the loyalty program?;Loyalty_Program-Program_Enquiry
What is the value for my rewards points?;Loyalty_Program-Program_Enquiry
what kind of rewards?;Loyalty_Program-Program_Enquiry
does the loyalty program give me discounts;Loyalty_Program-Program_Enquiry
loyalty program info;Loyalty_Program-Program_Enquiry
what are the benfits of the loyalty program;Loyalty_Program-Program_Enquiry
is there a minimum spend for the loyalty program;Loyalty_Program-Program_Enquiry
Can I find out about the loyalty program?;Loyalty_Program-Program_Enquiry
Do you have a loyalty program?;Loyalty_Program-Program_Enquiry
do I need to spend more than $100 for the loyalty program;Loyalty_Program-Program_Enquiry
can I join your loyalty progrem;Loyalty_Program-Program_Enquiry
